date;1. open;2. high;3. low;4. close;5. volume
2021-05-25;1.73;1.805;1.63;1.67;1286909.0
2021-05-21;1.73;1.8235;1.705;1.7505;793344.0
2021-05-20;1.667;1.7295;1.6425;1.688;294238.0
2021-05-19;1.71;1.71;1.6;1.679;751818.0
2021-05-18;1.7705;1.7705;1.681;1.7455;480515.0
2021-05-17;1.72;1.7795;1.7135;1.7585;955286.0
2021-05-14;1.681;1.7195;1.5665;1.714;868323.0
2021-05-13;1.645;1.716;1.5815;1.638;5356066.0
2021-05-12;1.775;1.775;1.6315;1.685;1339634.0
2021-05-11;1.708;1.8;1.62;1.7995;1998605.0
2021-05-10;2.02;2.02;1.745;1.7695;1922473.0
2021-05-07;1.76;1.9795;1.7045;1.9785;2137412.0
2021-05-06;1.98;1.99;1.7;1.7605;5132735.0
2021-05-05;2.035;2.141;1.915;1.9795;2564869.0
2021-05-04;2.38;2.395;1.99;2.06;4556409.0
2021-05-03;2.45;2.459;2.354;2.383;298042.0
2021-04-30;2.5;2.51;2.367;2.436;460928.0
2021-04-29;2.559;2.574;2.491;2.525;323848.0
2021-04-28;2.599;2.599;2.5;2.53;325297.0
2021-04-27;2.588;2.6;2.528;2.579;364895.0
2021-04-26;2.548;2.599;2.5;2.56;325343.0
2021-04-23;2.502;2.54;2.451;2.5;325939.0
2021-04-22;2.4;2.569;2.37;2.47;808598.0
2021-04-21;2.37;2.398;2.26;2.37;717761.0
2021-04-20;2.522;2.539;2.365;2.418;984767.0
2021-04-19;2.612;2.65;2.45;2.49;902784.0
2021-04-16;2.479;2.619;2.471;2.57;876610.0
2021-04-15;2.476;2.527;2.436;2.446;287671.0
2021-04-14;2.476;2.515;2.44;2.45;609786.0
2021-04-13;2.455;2.481;2.4;2.441;371931.0
2021-04-12;2.555;2.558;2.42;2.445;584561.0
2021-04-09;2.538;2.589;2.5;2.529;364897.0
2021-04-08;2.51;2.54;2.45;2.501;474546.0
2021-04-07;2.64;2.67;2.45;2.465;897053.0
2021-04-06;2.52;2.68;2.519;2.623;1028467.0
2021-04-01;2.53;2.577;2.42;2.461;853719.0
2021-03-31;2.4;2.538;2.395;2.49;928780.0
2021-03-30;2.3;2.4;2.292;2.394;874571.0
2021-03-29;2.2;2.319;2.176;2.299;705077.0
2021-03-26;2.18;2.217;2.151;2.161;375722.0
2021-03-25;2.12;2.195;2.06;2.131;1356390.0
2021-03-24;2.17;2.22;2.132;2.165;544742.0
2021-03-23;2.3;2.3;2.16;2.185;564052.0
2021-03-22;2.192;2.306;2.15;2.3;991468.0
2021-03-19;2.15;2.23;2.11;2.169;599984.0
2021-03-18;2.155;2.249;2.146;2.183;622738.0
2021-03-17;2.2;2.247;2.1;2.189;1303304.0
2021-03-16;2.27;2.29;2.211;2.25;615429.0
2021-03-15;2.366;2.366;2.21;2.279;1246672.0
2021-03-12;2.427;2.427;2.261;2.321;782800.0
2021-03-11;2.4;2.441;2.329;2.429;783589.0
2021-03-10;2.54;2.587;2.3;2.36;1551028.0
2021-03-09;2.141;2.52;2.141;2.491;1408140.0
2021-03-08;2.275;2.275;2.07;2.136;1935885.0
2021-03-05;2.18;2.324;2.09;2.25;1743578.0
2021-03-04;2.37;2.439;2.14;2.147;1855766.0
2021-03-03;2.627;2.627;2.361;2.421;1365203.0
2021-03-02;2.55;2.62;2.507;2.555;898784.0
2021-03-01;2.58;2.599;2.45;2.553;1076743.0
2021-02-26;2.35;2.509;2.25;2.495;1148571.0
2021-02-25;2.61;2.618;2.342;2.395;1160245.0
2021-02-24;2.491;2.629;2.45;2.586;1282590.0
2021-02-23;2.645;2.7;2.28;2.444;3577826.0
2021-02-22;2.85;2.876;2.59;2.628;1128694.0
2021-02-19;2.64;2.85;2.45;2.791;2598705.0
2021-02-18;2.949;2.998;2.54;2.681;3167524.0
2021-02-17;3.04;3.079;2.796;2.901;1251272.0
2021-02-16;2.99;3.148;2.981;3.035;496830.0
2021-02-15;2.943;3.085;2.943;3.011;788367.0
2021-02-12;3.1;3.15;3.004;3.051;471207.0
2021-02-11;3.118;3.184;3.09;3.099;403316.0
2021-02-10;3.09;3.209;3.085;3.128;747831.0
2021-02-09;3.219;3.219;3.069;3.115;664002.0
2021-02-08;3.231;3.249;3.16;3.194;770743.0
2021-02-05;3.179;3.249;3.15;3.16;649359.0
2021-02-04;3.157;3.215;3.131;3.178;537492.0
2021-02-03;3.05;3.189;3.001;3.12;745208.0
2021-02-02;3.031;3.069;2.99;3.039;528953.0
2021-02-01;2.97;3.049;2.941;2.999;585015.0
2021-01-29;2.876;3.009;2.781;2.911;753699.0
2021-01-28;3.058;3.058;2.64;2.988;4592026.0
2021-01-27;3.255;3.361;2.95;3.115;2184412.0
2021-01-26;3.208;3.28;3.161;3.278;751210.0
2021-01-25;3.25;3.279;3.17;3.229;1211185.0
2021-01-22;3.2;3.254;3.141;3.21;1143170.0
2021-01-21;3.092;3.199;3.05;3.159;1257616.0
2021-01-20;3.145;3.189;3.025;3.094;829550.0
2021-01-19;3.065;3.149;3.003;3.13;1657076.0
2021-01-18;3.18;3.199;2.912;3.034;2617460.0
2021-01-15;3.24;3.299;3.141;3.172;1659662.0
2021-01-14;3.326;3.4;3.144;3.19;1985672.0
2021-01-13;3.215;3.329;3.164;3.319;1883152.0
2021-01-12;3.2;3.249;3.1;3.178;1960368.0
2021-01-11;3.351;3.351;3.035;3.209;3213669.0
2021-01-08;3.215;3.399;3.2;3.31;3449915.0
2021-01-07;2.918;3.165;2.9;3.139;2642937.0
2021-01-06;2.9;2.93;2.821;2.88;1150575.0
2021-01-05;2.922;2.939;2.794;2.903;1565043.0
2021-01-04;2.851;2.959;2.8;2.94;2376822.0
2020-12-30;2.747;2.776;2.657;2.69;552657.0
2020-12-29;2.85;2.91;2.62;2.767;2614589.0
2020-12-28;2.65;2.779;2.634;2.75;2803909.0
2020-12-23;2.5;2.595;2.499;2.561;1803675.0
2020-12-22;2.34;2.5;2.34;2.479;1739119.0
2020-12-21;2.389;2.389;2.26;2.349;952871.0
2020-12-18;2.36;2.397;2.338;2.388;533255.0
2020-12-17;2.368;2.398;2.313;2.359;609862.0
2020-12-16;2.32;2.394;2.3;2.36;784958.0
2020-12-15;2.278;2.319;2.253;2.319;493642.0
2020-12-14;2.254;2.324;2.25;2.26;586731.0
2020-12-11;2.25;2.3;2.217;2.246;581457.0
2020-12-10;2.3;2.331;2.183;2.238;947090.0
2020-12-09;2.278;2.39;2.261;2.28;1415161.0
2020-12-08;2.249;2.272;2.22;2.263;423285.0
2020-12-07;2.2;2.245;2.15;2.23;545014.0
2020-12-04;2.085;2.219;2.024;2.179;1074195.0
2020-12-03;2.2;2.201;2.077;2.11;1401373.0
2020-12-02;2.245;2.266;2.16;2.22;992790.0
2020-12-01;2.41;2.427;2.174;2.255;1672204.0
2020-11-30;2.29;2.475;2.271;2.349;2851552.0
2020-11-27;2.18;2.289;2.18;2.266;1689099.0
2020-11-26;2.11;2.22;2.11;2.165;1289065.0
2020-11-25;2.14;2.183;2.04;2.109;1298181.0
2020-11-24;2.143;2.189;2.1;2.11;1430546.0
2020-11-23;2.164;2.19;2.059;2.109;1642277.0
2020-11-20;2.111;2.159;2.092;2.138;1659328.0
2020-11-19;1.9795;2.134;1.958;2.066;3952220.0
2020-11-18;1.91;1.984;1.89;1.9795;1305078.0
2020-11-17;1.8395;1.9155;1.822;1.9095;1311701.0
2020-11-16;1.8495;1.8495;1.7905;1.8195;675456.0
2020-11-13;1.8475;1.8495;1.7905;1.8175;540070.0
2020-11-12;1.8195;1.87;1.8;1.8245;821874.0
2020-11-11;1.7795;1.82;1.75;1.805;540225.0
2020-11-10;1.7815;1.814;1.75;1.78;567360.0
2020-11-09;1.8;1.8545;1.76;1.8095;1712635.0
2020-11-06;1.73;1.755;1.6905;1.73;637900.0
2020-11-05;1.7875;1.8;1.7175;1.7595;859454.0
2020-11-04;1.75;1.7995;1.64;1.78;1080608.0
2020-11-03;1.6895;1.76;1.656;1.7495;841883.0
2020-11-02;1.65;1.67;1.6;1.6515;563329.0
2020-10-30;1.5395;1.665;1.5215;1.629;862236.0
2020-10-29;1.51;1.5695;1.49;1.5685;849922.0
2020-10-28;1.562;1.59;1.5;1.506;1215938.0
2020-10-27;1.571;1.6385;1.5545;1.6085;696544.0
2020-10-26;1.669;1.67;1.55;1.5585;972067.0
2020-10-23;1.66;1.7095;1.62;1.6895;641070.0
2020-10-22;1.6005;1.641;1.56;1.6195;988074.0
2020-10-21;1.7095;1.7185;1.6;1.6395;1194024.0
2020-10-20;1.672;1.74;1.65;1.6905;799976.0
2020-10-19;1.762;1.7995;1.69;1.7245;808536.0
2020-10-16;1.7525;1.7975;1.7425;1.76;1291464.0
2020-10-15;1.8305;1.8305;1.6715;1.749;2205596.0
2020-10-14;1.8305;1.899;1.82;1.8365;5102418.0
2020-10-13;1.95;1.964;1.85;1.875;7830802.0
2020-10-12;1.8255;1.9785;1.825;1.9385;7982971.0
2020-10-09;1.84;1.8595;1.783;1.8245;6444471.0
2020-10-08;1.7105;1.85;1.7105;1.82;7406399.0
2020-10-07;1.7155;1.7495;1.659;1.725;5412354.0
2020-10-06;1.6975;1.7495;1.666;1.7395;4854605.0
2020-10-05;1.6;1.6845;1.597;1.678;4347411.0
2020-10-02;1.579;1.6065;1.5355;1.59;6142016.0
2020-10-01;1.569;1.63;1.55;1.605;3497495.0
2020-09-30;1.51;1.549;1.4405;1.535;5769795.0
2020-09-29;1.598;1.6175;1.483;1.515;7775430.0
2020-09-28;1.5135;1.5685;1.482;1.5345;7301806.0
2020-09-25;1.3825;1.468;1.3605;1.462;8240077.0
2020-09-24;1.48;1.48;1.3415;1.415;12895147.0
2020-09-23;1.66;1.6795;1.5135;1.5135;7975479.0
2020-09-22;1.465;1.6515;1.45;1.629;17230839.0
2020-09-21;1.727;1.727;1.3755;1.478;24781353.0
2020-09-18;1.7775;1.8;1.705;1.747;2493026.0
2020-09-17;1.789;1.789;1.704;1.7695;5514764.0
2020-09-16;1.745;1.789;1.6645;1.789;9153988.0
2020-09-15;1.823;1.828;1.7225;1.7305;9341712.0
2020-09-14;1.97;1.9795;1.73;1.833;12493932.0
2020-09-11;2.012;2.037;1.899;1.94;5817367.0
2020-09-10;2.08;2.13;1.95;2.016;5211032.0
2020-09-09;2.118;2.149;2.064;2.1;4324377.0
2020-09-08;2.091;2.15;2.0;2.119;5242125.0
2020-09-07;2.003;2.089;1.959;2.089;4730562.0
2020-09-04;1.9875;2.029;1.85;1.9455;6600704.0
2020-09-03;2.188;2.188;1.9535;2.025;8327983.0
2020-09-02;2.091;2.195;2.091;2.16;6293008.0
2020-09-01;2.032;2.099;2.031;2.089;3445060.0
2020-08-31;1.992;2.051;1.96;2.022;3234037.0
2020-08-28;1.999;2.029;1.936;1.96;3839317.0
2020-08-27;2.045;2.079;1.976;1.9935;7168285.0
2020-08-26;1.978;2.09;1.917;2.048;7900104.0
2020-08-25;1.9805;2.0;1.8765;1.8935;698294.0
2020-08-24;1.94;2.015;1.93;1.98;1062389.0
2020-08-21;1.88;1.9395;1.8565;1.9195;4208934.0
2020-08-20;1.903;1.9095;1.809;1.8285;2888666.0
2020-08-18;1.805;1.8995;1.789;1.8895;4046252.0
2020-08-17;1.785;1.82;1.75;1.7995;0.0
2020-08-14;1.7795;1.7845;1.7405;1.7785;0.0
2020-08-13;1.7275;1.7845;1.6905;1.7695;0.0
2020-08-12;1.73;1.7415;1.6955;1.7175;0.0
2020-08-11;1.69;1.7595;1.6605;1.721;4265671.0
2020-08-10;1.73;1.741;1.659;1.6775;2794496.0
2020-08-07;1.745;1.745;1.6915;1.704;1780778.0
2020-08-06;1.738;1.762;1.6915;1.72;2479105.0
2020-08-05;1.73;1.7435;1.6795;1.71;3357847.0
2020-08-04;1.7975;1.8225;1.7155;1.75;5017366.0
2020-08-03;1.73;1.7895;1.71;1.7795;4451904.0
2020-07-31;1.64;1.771;1.6305;1.7185;4723486.0
2020-07-29;1.7465;1.8045;1.71;1.7605;2815803.0
2020-07-28;1.887;1.895;1.73;1.7975;5932981.0
2020-07-27;1.77;1.86;1.6905;1.8495;10298746.0
2020-07-24;1.6995;1.76;1.586;1.74;17591129.0
2020-07-21;2.02;2.112;2.02;2.057;4636298.0
2020-07-20;2.029;2.055;1.92;2.029;7361309.0
2020-07-17;2.03;2.079;2.026;2.059;0.0
2020-07-16;2.075;2.098;2.03;2.055;4856354.0
2020-07-15;2.12;2.126;2.063;2.094;6310414.0
2020-07-14;2.0;2.14;2.0;2.074;10820616.0
2020-07-13;2.139;2.193;2.11;2.187;8592209.0
2020-07-10;2.097;2.1;2.05;2.092;8363878.0
2020-07-09;2.072;2.15;2.05;2.109;11560676.0
2020-07-08;1.9795;2.079;1.93;2.022;10149311.0
2020-07-07;2.107;2.109;1.884;1.999;14981818.0
2020-07-06;1.9;2.079;1.889;2.053;13364419.0
2020-07-03;1.83;1.88;1.8205;1.86;6283862.0
2020-07-02;1.758;1.848;1.733;1.82;6592914.0
2020-07-01;1.769;1.7775;1.7;1.7575;4483057.0
2020-06-30;1.76;1.8075;1.7;1.76;6450281.0
2020-06-29;1.642;1.75;1.64;1.75;7678682.0
