date;1. open;2. high;3. low;4. close;5. volume
2021-05-25;13.65;13.7;13.12;13.32;42179.0
2021-05-21;12.85;13.815;12.8;13.775;68821.0
2021-05-20;12.8;13.0;12.585;12.65;21736.0
2021-05-19;12.58;12.785;11.915;12.65;62122.0
2021-05-18;11.93;12.66;11.685;12.61;49988.0
2021-05-17;12.5;12.5;11.49;11.5;73411.0
2021-05-14;11.3;12.24;11.3;11.7;53190.0
2021-05-13;12.095;12.235;11.245;11.245;40801.0
2021-05-12;12.06;12.48;11.75;12.095;46605.0
2021-05-11;11.8;12.435;10.26;12.245;242233.0
2021-05-10;13.05;13.05;11.84;11.995;77256.0
2021-05-07;12.2;13.31;11.9;12.78;147420.0
2021-05-06;12.98;12.98;12.15;12.48;203198.0
2021-05-05;13.51;14.3;13.045;13.13;212328.0
2021-05-04;16.0;16.3;13.26;13.405;306097.0
2021-05-03;18.43;18.6;16.875;16.875;58395.0
2021-04-30;18.2;18.645;17.5;18.45;22219.0
2021-04-29;18.95;19.1;17.95;18.095;26943.0
2021-04-28;18.655;19.06;18.3;18.865;16466.0
2021-04-27;18.7;18.78;18.28;18.655;44392.0
2021-04-26;18.45;18.78;17.485;18.41;62535.0
2021-04-23;16.9;17.95;16.855;17.93;91712.0
2021-04-22;16.7;17.72;16.7;16.9;59433.0
2021-04-21;15.88;16.435;15.3;16.29;169692.0
2021-04-20;16.87;16.99;15.9;16.03;97419.0
2021-04-19;18.2;18.35;16.7;16.84;83907.0
2021-04-16;17.26;18.165;17.0;17.995;63713.0
2021-04-15;18.55;18.8;16.76;17.34;96039.0
2021-04-14;18.6;19.205;18.41;18.5;44318.0
2021-04-13;18.88;19.0;18.09;18.22;74682.0
2021-04-12;19.6;19.8;18.6;18.665;44648.0
2021-04-09;20.4;20.8;19.585;19.585;35761.0
2021-04-08;19.75;20.78;19.75;20.29;25497.0
2021-04-07;20.7;21.1;19.58;19.58;46096.0
2021-04-06;20.92;21.33;20.7;20.82;54428.0
2021-04-01;21.2;21.65;20.45;20.49;54339.0
2021-03-31;19.5;20.85;19.5;20.68;64536.0
2021-03-30;18.4;19.505;17.94;19.185;57911.0
2021-03-29;19.45;19.55;18.195;18.31;56480.0
2021-03-26;19.33;19.7;18.6;18.6;51631.0
2021-03-25;19.05;19.15;17.55;18.825;145945.0
2021-03-24;20.0;20.2;19.055;19.145;66846.0
